case	age	oc	vic	vicl	vis	dia	COUNT	PERCENT
0	0	0	0	0	1	0	1	0.4184100418
0	0	0	1	0	0	0	2	0.8368200837
0	0	0	1	0	1	0	1	0.4184100418
0	0	0	1	1	0	0	8	3.3472803347
0	0	0	1	1	1	0	18	7.5313807531
0	0	1	0	0	0	0	42	17.573221757
0	0	1	0	0	1	0	1	0.4184100418
0	0	1	1	0	0	0	1	0.4184100418
0	0	1	1	1	0	0	5	2.0920502092
0	0	1	1	1	1	0	6	2.510460251
0	1	0	1	1	0	0	2	0.8368200837
0	1	0	1	1	1	0	4	1.6736401674
0	1	1	0	0	0	0	14	5.8577405858
0	1	1	0	0	1	0	1	0.4184100418
0	1	1	1	0	0	0	1	0.4184100418
0	1	1	1	1	1	0	2	0.8368200837
1	0	0	0	0	1	0	1	0.4184100418
1	0	0	1	0	0	0	14	5.8577405858
1	0	0	1	0	1	0	3	1.2552301255
1	0	0	1	1	0	0	10	4.1841004184
1	0	0	1	1	1	0	12	5.0209205021
1	0	0	1	1	1	1	1	0.4184100418
1	0	1	0	0	0	0	44	18.410041841
1	0	1	0	0	0	1	3	1.2552301255
1	0	1	1	0	0	0	15	6.2761506276
1	0	1	1	0	0	1	1	0.4184100418
1	0	1	1	0	1	0	2	0.8368200837
1	0	1	1	1	0	0	7	2.9288702929
1	0	1	1	1	1	0	3	1.2552301255
1	1	0	1	0	0	0	2	0.8368200837
1	1	0	1	0	1	0	1	0.4184100418
1	1	0	1	0	1	1	1	0.4184100418
1	1	0	1	1	0	0	1	0.4184100418
1	1	0	1	1	1	1	1	0.4184100418
1	1	1	0	0	0	0	5	2.0920502092
1	1	1	1	0	0	0	3	1.2552301255
